timestamp,topic,message
2025-11-27T12:31:24.675000+00:00,bhkw/warning,True
2025-11-27T12:31:24.698000+00:00,bhkw/error,False
2025-11-27T12:31:24.706000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:24.710000+00:00,bhkw/leistung/thermisch/ist,28.549999
2025-11-27T12:31:24.739000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:25.675000+00:00,bhkw/warning,True
2025-11-27T12:31:25.689000+00:00,bhkw/error,False
2025-11-27T12:31:25.692000+00:00,bhkw/leistung/thermisch/ist,28.549999
2025-11-27T12:31:25.721000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:25.746000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:26.686000+00:00,bhkw/warning,True
2025-11-27T12:31:26.687000+00:00,bhkw/error,False
2025-11-27T12:31:26.688000+00:00,bhkw/leistung/thermisch/ist,28.549999
2025-11-27T12:31:26.693000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:26.739000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:27.672000+00:00,bhkw/warning,True
2025-11-27T12:31:27.689000+00:00,bhkw/leistung/thermisch/ist,28.549999
2025-11-27T12:31:27.707000+00:00,bhkw/einschaltpunkt,60
2025-11-27T12:31:27.717000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:27.720000+00:00,bhkw/error,False
2025-11-27T12:31:27.738000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:27.748000+00:00,bhkw/ausschaltpunkt,30
2025-11-27T12:31:28.694000+00:00,bhkw/warning,True
2025-11-27T12:31:28.699000+00:00,bhkw/error,False
2025-11-27T12:31:28.701000+00:00,bhkw/leistung/thermisch/ist,28.549999
2025-11-27T12:31:28.704000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:28.730000+00:00,bhkw/temperatur/ruecklauf,30.6
2025-11-27T12:31:29.676000+00:00,bhkw/warning,True
2025-11-27T12:31:29.690000+00:00,bhkw/error,False
2025-11-27T12:31:29.691000+00:00,bhkw/leistung/thermisch/ist,28.549999
2025-11-27T12:31:29.716000+00:00,bhkw/temperatur/vorlauf,71.5
2025-11-27T12:31:29.730000+00:00,bhkw/temperatur/ruecklauf,30.6
